Date,Open,High,Low,Close,Volume,Adj Close
2013-11-18,753.72,759.70,745.01,746.95,504500,746.95
2013-11-11,734.11,753.60,731.53,752.26,433100,752.26
2013-11-04,738.33,739.82,719.63,734.47,493700,734.47
2013-10-28,724.03,739.24,707.39,737.48,656100,737.48
2013-10-21,717.02,732.45,707.01,723.78,443500,723.78
2013-10-14,679.42,716.39,674.30,715.19,591400,715.19
2013-10-07,667.78,685.54,647.44,684.18,589900,684.18
2013-09-30,677.66,679.58,664.05,673.33,454700,672.73
2013-09-23,685.36,691.66,671.74,681.85,537900,681.24
2013-09-16,673.80,695.01,668.65,685.74,566100,685.13
2013-09-09,638.01,672.30,635.53,666.41,756500,665.82
2013-09-03,612.00,639.74,610.49,636.62,627600,636.05
2013-08-26,625.75,625.75,603.59,606.08,577700,605.54
2013-08-19,619.15,627.59,616.86,626.11,494200,625.55
2013-08-12,639.61,639.61,615.63,618.21,451800,617.66
2013-08-05,641.22,656.98,637.68,637.96,568000,637.39
2013-07-29,598.87,649.65,567.02,645.57,1728100,644.99
2013-07-22,594.34,604.85,589.65,598.15,577700,597.62
2013-07-15,599.24,600.95,582.95,593.33,598500,592.80
2013-07-08,597.18,602.74,587.38,598.86,549000,598.33
2013-07-01,578.61,595.03,577.55,595.03,550900,594.50
2013-06-24,563.37,577.43,557.48,574.50,788400,573.40
2013-06-17,574.07,591.89,568.88,573.29,835900,572.19
2013-06-10,567.60,575.54,557.06,571.16,582000,570.07
2013-06-03,571.34,576.90,557.10,566.25,585300,565.17
2013-05-28,580.00,585.27,569.61,570.25,452700,569.16
2013-05-20,583.14,589.00,563.32,571.46,487600,570.37
2013-05-13,553.00,585.00,553.00,584.78,544300,583.66
2013-05-06,553.60,557.54,533.79,555.13,476800,554.07
2013-04-29,537.48,557.66,535.35,553.55,786300,552.49
2013-04-22,522.05,539.00,518.79,535.33,379200,534.31
2013-04-15,530.23,533.85,518.56,521.96,572500,520.96
2013-04-08,530.69,542.32,523.15,532.99,599000,531.97
2013-04-01,542.44,546.90,526.99,531.60,494800,530.58
2013-03-25,520.25,541.96,518.77,541.13,692400,539.49
2013-03-18,515.31,519.66,508.16,517.50,540800,515.93
2013-03-11,529.58,532.47,518.22,519.37,615300,517.79
2013-03-04,515.98,531.23,515.76,529.23,526200,527.62
2013-02-25,525.34,526.00,507.36,518.30,678200,516.73
2013-02-19,525.00,526.49,510.56,523.83,575400,522.24
2013-02-11,525.62,526.16,516.15,523.13,535500,521.54
2013-02-04,516.29,524.47,512.09,524.47,637600,522.88
2013-01-28,520.94,535.35,513.00,518.71,1175900,517.14
2013-01-22,524.79,525.70,514.63,519.42,636900,517.84
2013-01-14,529.55,529.98,513.42,521.00,759500,519.42
2013-01-07,512.50,532.47,511.66,528.68,976600,527.08
2012-12-31,483.37,515.46,482.90,510.98,994100,509.13
2012-12-24,492.86,496.25,481.12,483.08,484000,481.33
2012-12-17,483.42,498.62,481.08,493.57,742100,491.78
2012-12-10,480.36,487.60,475.48,482.30,697700,480.55
2012-12-03,491.00,494.51,473.86,476.09,678700,474.37
2012-11-26,480.18,490.75,474.77,488.68,706800,486.91
2012-11-19,469.40,482.58,468.39,481.24,473300,479.50
2012-11-12,465.68,476.92,453.57,464.59,683200,462.91
2012-11-05,467.26,472.89,458.48,464.66,610900,462.98
2012-10-31,452.52,476.99,451.18,469.45,1026900,467.75
2012-10-22,472.98,472.98,447.38,452.98,758400,451.34
2012-10-15,472.34,486.08,467.90,470.06,793100,468.36
2012-10-08,474.24,476.04,460.48,473.36,791400,471.65
2012-10-01,453.18,483.00,452.50,475.27,752500,473.55
2012-09-24,457.50,457.73,445.77,451.48,559900,449.56
2012-09-17,454.32,461.79,447.25,459.52,782500,457.57
2012-09-10,436.62,456.66,436.33,454.18,717000,452.25
2012-09-04,417.54,436.79,417.54,436.20,659200,434.35
2012-08-27,422.49,426.47,419.01,422.90,422800,421.10
2012-08-20,427.10,429.81,416.67,422.45,528400,420.65
2012-08-13,424.57,433.15,422.12,426.81,466700,425.00
2012-08-06,424.20,427.86,413.18,426.03,831100,424.22
2012-07-30,436.20,446.75,418.10,424.13,1297400,422.33
2012-07-23,416.27,436.75,404.70,436.75,827500,434.89
2012-07-16,439.77,448.00,421.43,423.15,932000,421.35
2012-07-09,434.33,436.43,412.84,429.60,785700,427.77
2012-07-02,435.07,445.25,430.16,441.63,629400,439.75
2012-06-25,432.85,435.73,416.76,430.11,732400,427.99
2012-06-18,424.93,435.08,420.60,435.08,648600,432.94
2012-06-11,420.50,426.69,408.00,426.69,703800,424.59
2012-06-04,391.70,425.07,390.10,416.55,919400,414.50
2012-05-29,417.33,419.75,389.90,391.78,832500,389.85
2012-05-21,396.00,428.77,394.20,413.96,1032700,411.92
